QDVER						Version
STMASK,0					Trace Mask ALL
STMASK,9223372036854775807	Trace Mask OFF

QDEEINFO					EEPROM Info
SDBOOT						Mode: Bootloader 
SBL							Stay in Bootloader
RMA							Mode: Main

ULCMD						Unlock EE
SINVMODE					Inventory Mode - Set into
RBT							Reboot

Q251						Inventory Mode - Get Exit Time
QDAINLIST					Analog Input List
QDINLIST					Input List
QDOUTLIST					Output List

STCAT						Sleep Immediately
SXSOFF,10					Sleep for 10 sec

SDOUT,4,1					Radio: RADIO_PWR charge super cap
SDOUT,6,1					Radio: RADIO_ON
SDOUT,6,0					Radio: RADIO_ON off
QDIN,9						Radio: Radio Ready Read
SL1							Radio: Lockstep To Radio UART
AT+CGSN						Radio: IMEI
AT+CIMI						Radio: IMSI
AT+CREG=2					Radio: Register
AT+CSQ?						Radio: RSSI

SDOUT,19,1					GPS: Power on the GPS VBACK
SDOUT,5,1					GPS: GPS_PWR ON
SDOUT,4,1					GPS: RADIO_PWR ON
SL6							GPS:Lockstep to GPS UART

QDAIN,5						Solar: VSOL Panel Output Volts
QDAIN,1						Solar: VBAT Battery Volts
